,SCC,Data.Category,Short.Name,EI.Sector,Option.Group,Option.Set,SCC.Level.One,SCC.Level.Two,SCC.Level.Three,SCC.Level.Four,Map.To,Last.Inventory.Year,Created_Date,Revised_Date,Usage.Notes
12,10100221,Point,Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Wet Bottom,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Pulverized Coal: Wet Bottom (Subbituminous Coal),,,,,
13,10100222,Point,Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Pulverized Coal: Dry Bottom (Subbituminous Coal),,,,,
14,10100223,Point,Ext Comb /Electric Gen /Subbituminous Coal /Cyclone Furnace,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Cyclone Furnace (Subbituminous Coal),,,,,
15,10100224,Point,Ext Comb /Electric Gen /Subbituminous Coal /Spreader Stoker,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Spreader Stoker (Subbituminous Coal),,,,,
16,10100225,Point,Ext Comb /Electric Gen /Subbituminous Coal /Traveling Grate (Overfeed) Stoker,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Traveling Grate (Overfeed) Stoker (Subbituminous Coal),,,,,
17,10100226,Point,Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal),,,,,
18,10100235,Point,Ext Comb /Electric Gen /Subbituminous Coal /Cell Burner,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Cell Burner (Subbituminous Coal),,,,,
19,10100237,Point,Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Atmospheric Fluidized Bed Combustion: Bubbling Bed (Subbitum Coal),,,6/6/2003 0:00:00,,
20,10100238,Point,Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion - Circulating Bed,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Bituminous/Subbituminous Coal,Atmospheric Fluidized Bed Combustion - Circulating Bed (Subbitum Coal),,,,,
21,10100300,Point,Ext Comb /Electric Gen /Lignite /Pulverized Coal: Wet Bottom,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,Pulverized Coal: Wet Bottom,,,,,
22,10100301,Point,"Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Wall Fired",Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,"Pulverized Coal: Dry Bottom, Wall Fired",,,,,
23,10100302,Point,"Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired",Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,"Pulverized Coal: Dry Bottom, Tangential Fired",,,,,
24,10100303,Point,Ext Comb /Electric Gen /Lignite /Cyclone Furnace,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,Cyclone Furnace,,,,,
25,10100304,Point,Ext Comb /Electric Gen /Lignite /Traveling Grate (Overfeed) Stoker,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,Traveling Grate (Overfeed) Stoker,,,,,
26,10100306,Point,Ext Comb /Electric Gen /Lignite /Spreader Stoker,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,Spreader Stoker,,,,,
27,10100316,Point,Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed ** (See 101003-17 & -18),Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,Atmospheric Fluidized Bed ** (See 101003-17 & -18),,,,,
28,10100317,Point,Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Bubbling Bed,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,Atmospheric Fluidized Bed Combustion - Bubbling Bed,,,,,
29,10100318,Point,Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Circulating Bed,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Lignite,Atmospheric Fluidized Bed Combustion - Circulating Bed,,,,,
30,10100401,Point,Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Normal Firing,Fuel Comb - Electric Generation - Oil,,,External Combustion Boilers,Electric Generation,Residual Oil,Grade 6 Oil: Normal Firing,,,,,
31,10100404,Point,Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Tangential Firing,Fuel Comb - Electric Generation - Oil,,,External Combustion Boilers,Electric Generation,Residual Oil,Grade 6 Oil: Tangential Firing,,,,,
32,10100405,Point,Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Normal Firing,Fuel Comb - Electric Generation - Oil,,,External Combustion Boilers,Electric Generation,Residual Oil,Grade 5 Oil: Normal Firing,,,,,
33,10100406,Point,Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Tangential Firing,Fuel Comb - Electric Generation - Oil,,,External Combustion Boilers,Electric Generation,Residual Oil,Grade 5 Oil: Tangential Firing,,,,,
34,10100501,Point,Ext Comb /Electric Gen /Distillate Oil /Grades 1 and 2 Oil,Fuel Comb - Electric Generation - Oil,,,External Combustion Boilers,Electric Generation,Distillate Oil,Grades 1 and 2 Oil,,,,,
35,10100504,Point,Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Normal Firing,Fuel Comb - Electric Generation - Oil,,,External Combustion Boilers,Electric Generation,Distillate Oil,Grade 4 Oil: Normal Firing,,,,,
36,10100505,Point,Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Tangential Firing,Fuel Comb - Electric Generation - Oil,,,External Combustion Boilers,Electric Generation,Distillate Oil,Grade 4 Oil: Tangential Firing,,,,,
37,10100601,Point,Ext Comb /Electric Gen /Natural Gas /Boilers : 100 Million Btu/hr except Tangential,Fuel Comb - Electric Generation - Natural Gas,,,External Combustion Boilers,Electric Generation,Natural Gas,Boilers : 100 Million Btu/hr except Tangential,,,,,
38,10100602,Point,Ext Comb /Electric Gen /Natural Gas /Boilers < 100 Million Btu/hr except Tangential,Fuel Comb - Electric Generation - Natural Gas,,,External Combustion Boilers,Electric Generation,Natural Gas,Boilers < 100 Million Btu/hr except Tangential,,,,,
39,10100604,Point,Ext Comb /Electric Gen /Natural Gas /Tangentially Fired Units,Fuel Comb - Electric Generation - Natural Gas,,,External Combustion Boilers,Electric Generation,Natural Gas,Tangentially Fired Units,,,,,
40,10100701,Point,Ext Comb /Electric Gen /Process Gas /Boilers : 100 Million Btu/hr,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Process Gas,Boilers : 100 Million Btu/hr,,,,,
41,10100702,Point,Ext Comb /Electric Gen /Process Gas /Boilers < 100 Million Btu/hr,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Process Gas,Boilers < 100 Million Btu/hr,,,,,
42,10100703,Point,Ext Comb /Electric Gen /Process Gas /Petroleum Refinery Gas,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Process Gas,Petroleum Refinery Gas,,,6/6/2003 0:00:00,,
43,10100704,Point,Ext Comb /Electric Gen /Process Gas /Blast Furnace Gas,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Process Gas,Blast Furnace Gas,,,6/6/2003 0:00:00,,
44,10100707,Point,Ext Comb /Electric Gen /Process Gas /Coke Oven Gas,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Process Gas,Coke Oven Gas,,,6/6/2003 0:00:00,,
45,10100711,Point,Ext Comb /Electric Gen /Process Gas /Landfill Gas,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Process Gas,Landfill Gas,,,6/6/2003 0:00:00,,
46,10100712,Point,Ext Comb /Electric Gen /Process Gas /Digester Gas,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Process Gas,Digester Gas,,,6/6/2003 0:00:00,,
47,10100801,Point,Ext Comb /Electric Gen /Petroleum Coke /All Boiler Sizes,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Petroleum Coke,All Boiler Sizes,,,,2/2/2004 0:00:00,
48,10100818,Point,Ext Comb /Electric Gen /Petroleum Coke /Circulating Fluidized Bed Combustion,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Petroleum Coke,Circulating Fluidized Bed Combustion,,,2/2/2004 0:00:00,,
49,10100901,Point,Ext Comb /Electric Gen /Bark-fired Boiler,Fuel Comb - Electric Generation - Biomass,,,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Bark-fired Boiler,,,,,
50,10100902,Point,Ext Comb /Electric Gen /Wood/Bark Fired Boiler,Fuel Comb - Electric Generation - Biomass,,,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Wood/Bark Fired Boiler,,,,,
51,10100903,Point,Ext Comb /Electric Gen /Wood-fired Boiler - Wet Wood (:=20% moisture),Fuel Comb - Electric Generation - Biomass,,,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Wood-fired Boiler - Wet Wood (:=20% moisture),,,,9/26/2001 0:00:00,
52,10100908,Point,Ext Comb /Electric Gen /Wood-fired Boiler - Dry Wood (<20% moisture),Fuel Comb - Electric Generation - Biomass,,,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Wood-fired Boiler - Dry Wood (<20% moisture),,,9/26/2001 0:00:00,,
53,10100910,Point,Ext Comb /Electric Gen /Wood/Bark Waste /Fuel cell/Dutch oven boilers **,Fuel Comb - Electric Generation - Biomass,,,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Fuel cell/Dutch oven boilers **,,,,9/26/2001 0:00:00,
54,10100911,Point,Ext Comb /Electric Gen /Wood/Bark Waste /Stoker boilers **,Fuel Comb - Electric Generation - Biomass,,,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Stoker boilers **,,,,9/26/2001 0:00:00,
55,10100912,Point,Ext Comb /Electric Gen /Wood/Bark Waste /Fluidized bed combustion boilers,Fuel Comb - Electric Generation - Biomass,,,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Fluidized bed combustion boilers,,,,,
56,10101001,Point,Ext Comb /Electric Gen /LPG /Butane,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquified Petroleum Gas (LPG),Butane,,,,,
57,10101002,Point,Ext Comb /Electric Gen /LPG /Propane,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquified Petroleum Gas (LPG),Propane,,,,,
58,10101003,Point,Ext Comb /Electric Gen /LPG /Butane/Propane Mixture: Specify Percent Butane in Comments,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquified Petroleum Gas (LPG),Butane/Propane Mixture: Specify Percent Butane in Comments,,,,,
59,10101101,Point,Ext Comb /Electric Gen /Bagasse /All Boiler Sizes,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Bagasse,All Boiler Sizes,,,,,
60,10101201,Point,Ext Comb /Electric Gen /Solid Waste /Specify Waste Material in Comments,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Solid Waste,Specify Waste Material in Comments,,,,,
61,10101202,Point,Ext Comb /Electric Gen /Solid Waste /Refuse Derived Fuel,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Solid Waste,Refuse Derived Fuel,,,,,
62,10101204,Point,Ext Comb /Electric Gen /Solid Waste /Tire Derived Fuel : Shredded,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Solid Waste,Tire Derived Fuel : Shredded,,,8/9/2002 0:00:00,,
63,10101205,Point,Ext Comb /Electric Gen /Solid Waste /Sludge Waste,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Solid Waste,Sludge Waste,,,6/6/2003 0:00:00,,
64,10101206,Point,"Ext Comb /Electric Gen /Solid Waste /Agric Byproducts (rice or peanut hulls, shells, cow manure, etc",Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Solid Waste,"Agricultural Byproducts (rice or peanut hulls, shells, cow manure, etc",,,6/6/2003 0:00:00,,
65,10101207,Point,Ext Comb /Electric Gen /Solid Waste /Other Biomass Solids,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Solid Waste,Other Biomass Solids,,,6/6/2003 0:00:00,,
66,10101208,Point,Ext Comb /Electric Gen /Solid Waste /Paper Pellets,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Solid Waste,Paper Pellets,,,6/6/2003 0:00:00,,
67,10101301,Point,Ext Comb /Electric Gen /Liquid Waste /Specify Waste Material in Comments,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquid Waste,Specify Waste Material in Comments,,,,,
68,10101302,Point,Ext Comb /Electric Gen /Liquid Waste /Waste Oil,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquid Waste,Waste Oil,,,,,
69,10101304,Point,Ext Comb /Electric Gen /Liquid Waste /Black Liquor,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquid Waste,Black Liquor,,,6/6/2003 0:00:00,,
70,10101305,Point,Ext Comb /Electric Gen /Liquid Waste /Red Liquor,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquid Waste,Red Liquor,,,6/6/2003 0:00:00,,
71,10101306,Point,Ext Comb /Electric Gen /Liquid Waste /Spent Sulfite Liquor,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquid Waste,Spent Sulfite Liquor,,,6/6/2003 0:00:00,,
72,10101307,Point,Ext Comb /Electric Gen /Liquid Waste /Tall Oil,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquid Waste,Tall Oil,,,6/6/2003 0:00:00,,
73,10101308,Point,Ext Comb /Electric Gen /Liquid Waste /Wood/Wood Waste Liquid,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Liquid Waste,Wood/Wood Waste Liquid,,,6/6/2003 0:00:00,,
74,10101501,Point,Ext Comb /Electric Gen /Geothermal Power Plant: Off-gas Ejectors,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Geothermal Power Plants,Geothermal Power Plant: Off-gas Ejectors,,,,,
75,10101502,Point,Ext Comb /Electric Gen /Geothermal Power Plant: Cooling Tower Exhaust,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Geothermal Power Plants,Geothermal Power Plant: Cooling Tower Exhaust,,,,,
76,10101601,Point,Ext Comb /Electric Gen /Methanol /All,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Methanol,All,,,6/6/2003 0:00:00,,
77,10101801,Point,Ext Comb /Electric Gen /Hydrogen /All,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Hydrogen,All,,,6/6/2003 0:00:00,,
78,10101901,Point,Ext Comb /Electric Gen /Coal-based Synfuel /All,Fuel Comb - Electric Generation - Other,,,External Combustion Boilers,Electric Generation,Coal-based Synfuel,All,,,6/6/2003 0:00:00,,
79,10102001,Point,Ext Comb /Electric Gen /Waste Coal /All,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Waste Coal,All,,,6/6/2003 0:00:00,,
80,10102018,Point,Ext Comb /Electric Gen /Waste Coal /Circulating Fluidized Bed,Fuel Comb - Electric Generation - Coal,,,External Combustion Boilers,Electric Generation,Waste Coal,Circulating Fluidized Bed Combustion,,,2/2/2004 0:00:00,,
81,10102101,Point,Ext Comb /Electric Gen /Other Oil /All,Fuel Comb - Electric Generation - Oil,,,External Combustion Boilers,Electric Generation,Other Oil,All,,,6/6/2003 0:00:00,,
82,10200101,Point,Ext Comb /Industrial /Anthracite Coal /Pulverized Coal,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Anthracite Coal,Pulverized Coal,,,,,
83,10200104,Point,Ext Comb /Industrial /Anthracite Coal /Traveling Grate (Overfeed) Stoker,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Anthracite Coal,Traveling Grate (Overfeed) Stoker,,,,,
84,10200107,Point,Ext Comb /Industrial /Anthracite Coal /Hand-fired,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Anthracite Coal,Hand-fired,,,,,
85,10200117,Point,Ext Comb /Industrial /Anthracite Coal /Fluidized Bed Boiler Burning Anthracite-Culm Fuel,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Anthracite Coal,Fluidized Bed Boiler Burning Anthracite-Culm Fuel,,,,,
86,10200201,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Wet Bottom,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Pulverized Coal: Wet Bottom,,,,,
87,10200202,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Pulverized Coal: Dry Bottom,,,,,
88,10200203,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Cyclone Furnace,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Cyclone Furnace,,,,,
89,10200204,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Spreader Stoker,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Spreader Stoker,,,,,
90,10200205,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Overfeed Stoker,,,,,
91,10200206,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Underfeed Stoker,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Underfeed Stoker,,,,,
92,10200210,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker **,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Overfeed Stoker **,,,,,
93,10200212,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom (Tangential),"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Pulverized Coal: Dry Bottom (Tangential),,,,,
94,10200213,Point,Ext Comb /Industrial /Bitum/Subbit Coal /Wet Slurry,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Wet Slurry,,,,,
95,10200217,Point,Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal),,,,,
96,10200218,Point,Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal),,,,,
97,10200219,Point,Ext Comb /Industrial /Bituminous Coal /Cogeneration,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Cogeneration (Bituminous Coal),,,,8/31/2000 0:00:00,
98,10200221,Point,Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Wet Bottom,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Pulverized Coal: Wet Bottom (Subbituminous Coal),,,,,
99,10200222,Point,Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Pulverized Coal: Dry Bottom (Subbituminous Coal),,,,,
100,10200223,Point,Ext Comb /Industrial /Subbituminous Coal /Cyclone Furnace,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Cyclone Furnace (Subbituminous Coal),,,,,
101,10200224,Point,Ext Comb /Industrial /Subbituminous Coal /Spreader Stoker,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Spreader Stoker (Subbituminous Coal),,,,,
102,10200225,Point,Ext Comb /Industrial /Subbituminous Coal /Traveling Grate (Overfeed) Stoker,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Traveling Grate (Overfeed) Stoker (Subbituminous Coal),,,,,
103,10200226,Point,Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal),,,,,
104,10200229,Point,Ext Comb /Industrial /Subbituminous Coal /Cogeneration,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Bituminous/Subbituminous Coal,Cogeneration (Subbituminous Coal),,,,,
105,10200300,Point,Ext Comb /Industrial /Lignite /Pulverized Coal: Wet Bottom,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Lignite,Pulverized Coal: Wet Bottom,,,,,
106,10200301,Point,"Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Lignite,"Pulverized Coal: Dry Bottom, Wall Fired",,,,,
107,10200302,Point,"Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired","Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Lignite,"Pulverized Coal: Dry Bottom, Tangential Fired",,,,,
108,10200303,Point,Ext Comb /Industrial /Lignite /Cyclone Furnace,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Lignite,Cyclone Furnace,,,,,
109,10200304,Point,Ext Comb /Industrial /Lignite /Traveling Grate (Overfeed) Stoker,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Lignite,Traveling Grate (Overfeed) Stoker,,,,,
110,10200306,Point,Ext Comb /Industrial /Lignite /Spreader Stoker,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Lignite,Spreader Stoker,,,,,
111,10200307,Point,Ext Comb /Industrial /Lignite /Cogeneration,"Fuel Comb - Industrial Boilers, ICEs - Coal",,,External Combustion Boilers,Industrial,Lignite,Cogeneration,,,,,
112,10200401,Point,Ext Comb /Industrial /Residual Oil /Grade 6 Oil,"Fuel Comb - Industrial Boilers, ICEs - Oil",,,External Combustion Boilers,Industrial,Residual Oil,Grade 6 Oil,,,,,
113,10200402,Point,Ext Comb /Industrial /Residual Oil /10-100 Million Btu/hr **,"Fuel Comb - Industrial Boilers, ICEs - Oil",,,External Combustion Boilers,Industrial,Residual Oil,10-100 Million Btu/hr **,,,,,
